species_strain	species	num_gene	num_strain_sample	sum_strain_depth	species_gene_frac	log_selected_gene_depth_ratio_std	num_geno_positions
102274_13	102274	2652	5	23.179487074925785	0.9972426470588236	0.1880604024147815	35575
102274_20	102274	2321	10	10.605648464803243	0.9724264705882352	0.1867419734737547	36158
102274_21	102274	2454	11	12.069281712943168	0.9788602941176472	0.1942151763717378	25181
102274_25	102274	2685	7	9.598552671180794	0.9788602941176472	0.2095259910042929	36386
102274_28	102274	2629	7	32.041766649606686	0.9935661764705882	0.1910473353550982	35792
102274_29	102274	2666	22	41.21105779849679	0.9981617647058824	0.185859287501224	35293
102274_32	102274	2673	6	16.43370567966331	0.9926470588235294	0.191379793071649	35798
102274_33	102274	2877	16	15.927857522443588	0.9898897058823528	0.2084088592337213	36059
102274_37	102274	3101	19	23.75499284890873	0.9963235294117648	0.2450108802986643	34579
102274_39	102274	2909	22	21.70235926579516	0.9926470588235294	0.2252270563795633	36119
102274_41	102274	2492	10	12.74138936124606	0.984375	0.1926868097402055	35550
102274_42	102274	2497	4	12.120287870281704	0.9908088235294118	0.1926474347253845	36009
102274_43	102274	2596	6	5.807721620959594	0.9632352941176472	0.2172243523367871	36078
102274_50	102274	2483	10	11.198707312189072	0.9825367647058824	0.1864982969170622	35151
102274_53	102274	2693	21	14.34784031018964	0.9742647058823528	0.200724566824903	17418
102274_56	102274	2512	1	6.610762435722127	0.9880514705882352	0.1916179219369126	36320
102274_57	102274	2885	10	28.632111257914897	0.9944852941176472	0.1958221763953716	36218
102274_58	102274	2608	9	41.68901685954494	0.9963235294117648	0.1867635774404436	30360
102274_6	102274	2806	23	67.73879048780077	0.9990808823529412	0.1974816940230066	35844
102274_61	102274	2808	7	22.046585130884683	0.9954044117647058	0.2013541210642845	35895
102274_68	102274	2505	9	15.362663232711082	0.9889705882352942	0.1856034263120511	30494
102274_7	102274	2835	9	19.326568989167	0.9926470588235294	0.1935819764529643	31222
102274_74	102274	2716	4	5.112719822442436	0.9595588235294118	0.2455944622806456	35777
102274_8	102274	2601	12	81.02641771347882	0.9963235294117648	0.1904365094258612	30858
102274_82	102274	2451	12	9.714590836263705	0.9724264705882352	0.193178651861561	35786
102274_9	102274	2401	3	71.0679717797922	0.9944852941176472	0.1859079728600279	9256
102279_15	102279	2441	20	16.469222157846882	0.9783889980353636	0.1966789595671204	1488
102279_2	102279	2606	15	58.39168457557034	0.9803536345776032	0.2193117845964904	9983
102279_20	102279	2090	9	6.691339011123528	0.9538310412573674	0.1944013699093916	6738
102279_24	102279	2360	20	17.395707347283516	0.981335952848723	0.1935585735862641	2355
102279_26	102279	2293	17	15.9268740213381	0.9734774066797642	0.2013230940132087	10524
102279_3	102279	2522	14	20.34019316506424	0.9764243614931236	0.2032735074303984	5036
102279_30	102279	2269	13	15.184820892558449	0.9724950884086444	0.2268550304293642	1965
102279_5	102279	2184	11	7.092629949173983	0.9567779960707268	0.2018177313216021	9393
102279_8	102279	2237	12	16.75531440949023	0.9646365422396856	0.1904206852642098	7821
102279_9	102279	2312	16	12.549018310204811	0.9783889980353636	0.191127167447484	1226
102281_1	102281	5636	71	312.0456647952332	0.9815705128205128	0.2099332700658734	17632
102281_13	102281	4922	15	128.85541125377475	0.9619391025641024	0.2292796602355137	17581
102281_17	102281	5643	10	45.93946283314804	0.955528846153846	0.2251589999590334	2948
102281_21	102281	4497	10	79.06050716143288	0.9655448717948718	0.2301562899365238	17816
102281_25	102281	4815	21	164.11862497656307	0.9579326923076924	0.2316438879353209	17548
102281_26	102281	5109	30	150.1840973914003	0.9595352564102564	0.2342950596963779	17398
102281_3	102281	4672	10	60.931521225552416	0.9543269230769232	0.2248893975163355	17416
102281_35	102281	4620	6	42.6153803221143	0.954727564102564	0.2289076741817819	17468
102284_0	102284	2164	11	167.87831593413102	0.994180407371484	0.1692937740403853	56985
102284_5	102284	2116	17	67.74335587590586	0.991270611057226	0.1783684429710352	56587
102284_6	102284	2135	2	60.226779977061945	0.9961202715809894	0.1676874794435156	3511
102284_7	102284	2211	2	11.812307859507946	0.9835111542192048	0.1851270473848693	14495
102285_1	102285	2828	8	7.020580278619089	0.9846266471449489	0.1578105253255036	132668
102285_7	102285	2641	9	7.054971089295879	0.978770131771596	0.1526825151526921	9868
102292_0	102292	2700	24	46.14909744744091	0.9950284090909092	0.168373629415703	32656
102292_1	102292	2473	9	44.52793177934712	0.9964488636363636	0.1535356501689114	33733
102292_10	102292	2493	7	16.083035986122006	0.9850852272727272	0.163620500626149	33905
102292_12	102292	2395	9	23.988871942655017	0.9928977272727272	0.1512163220106373	10773
102292_13	102292	2303	5	6.256641318466566	0.9637784090909092	0.1620269170248643	8141
102292_15	102292	2289	6	8.584713814199176	0.9623579545454546	0.1659751465103477	29254
102292_17	102292	2269	1	4.3145525088508885	0.9538352272727272	0.1811893046025042	32602
102292_2	102292	2521	13	10.965468027216165	0.9630681818181818	0.1843678378070913	2480
102292_21	102292	2323	7	7.006821642800023	0.9715909090909092	0.166133882140165	30380
102292_23	102292	2687	20	18.83286711813097	0.9815340909090908	0.178676415940698	30397
102292_26	102292	2406	8	15.34505214022716	0.9857954545454546	0.1629701053217345	15661
102292_3	102292	2568	15	67.08682086829755	0.9950284090909092	0.1652804622384459	32073
102292_33	102292	2287	5	5.338009177954455	0.9545454545454546	0.1781764009516947	33039
102292_36	102292	2231	1	4.028202556770694	0.953125	0.1856599174136655	29516
102292_39	102292	2315	5	5.195313532306228	0.9566761363636364	0.1656802252774375	32622
102292_6	102292	2343	13	10.905926215006405	0.9637784090909092	0.1674040546940825	2683
102292_7	102292	2258	2	4.115523706376435	0.953125	0.1824031381867612	24220
102292_8	102292	2339	9	7.1973837279115	0.9545454545454546	0.1776835759964678	5560
102292_9	102292	2483	20	21.54467154267114	0.9829545454545454	0.1659237884975802	27286
102293_0	102293	3562	12	1833.7294407967952	0.99906015037594	0.1812218319896793	32394
102293_1	102293	3732	7	823.91560608254	0.99906015037594	0.1857887059893289	30673
102293_11	102293	3460	10	2307.7731939523755	0.9981203007518796	0.1780616293742076	31808
102293_12	102293	3580	25	2452.4273668679725	0.99906015037594	0.1853448682773326	23687
102293_13	102293	3675	6	759.6211947550668	0.99906015037594	0.1835756168563421	31854
102293_16	102293	3394	10	2049.021077147552	0.99906015037594	0.1777062622213706	31602
102293_17	102293	3563	3	471.9020940695964	0.99906015037594	0.1848584349349628	31557
102293_2	102293	3528	2	633.5983240849033	0.99906015037594	0.1838213637539649	30727
102293_20	102293	3638	1	356.32468710707144	0.99906015037594	0.1900333561903356	31714
102293_21	102293	3367	11	3200.822466409318	0.99906015037594	0.1791715318373774	32383
102293_25	102293	3805	1	198.16579331012449	0.9971804511278196	0.1841688816647491	32302
102293_41	102293	4035	8	543.5386993580473	0.99906015037594	0.1876077138032423	1923
102293_5	102293	3467	10	1935.3401441052108	0.99906015037594	0.1848005656563464	26036
102293_6	102293	3699	12	1368.546674746463	0.99906015037594	0.1894999660464383	32539
102293_8	102293	3704	6	698.1661897419838	0.9981203007518796	0.1897415670538213	31332
102295_0	102295	2965	9	42.82616211494783	0.9972850678733032	0.185147949729645	73652
102295_1	102295	2764	4	21.51066867814989	0.9981900452488688	0.1895125835308745	73385
102295_16	102295	2833	13	27.730333282576066	0.995475113122172	0.1904059585731863	65973
102295_23	102295	2613	3	6.906056442324737	0.9737556561085972	0.201359909730458	31995
102295_4	102295	2781	2	6.274069552625148	0.9746606334841628	0.1950014300006472	28716
102295_6	102295	2658	12	13.913114157151622	0.9701357466063348	0.1915008604904936	35685
102295_7	102295	2642	11	12.18479395053169	0.9556561085972852	0.1950475149760803	33903
102297_0	102297	2636	23	205.2639337298044	0.99932478055368	0.133148348058913	73657
102298_2	102298	2997	21	40.700161791405215	0.9889400921658986	0.1870623533156253	4360
102298_5	102298	2897	9	15.847888005289471	0.9889400921658986	0.1832115487283412	7760
102316_0	102316	1658	2	5.033745045749016	0.9842105263157894	0.205231487943743	51043
102321_0	102321	2697	10	19.46339571065517	0.9605839416058394	0.1754951365838903	62815
102321_1	102321	3042	25	48.4126709310878	0.9854014598540146	0.1860903475156841	63100
102321_10	102321	2782	22	57.847905321251474	0.9912408759124088	0.177555029729393	64436
102321_105	102321	2872	4	12.323304564802122	0.962043795620438	0.1894881174607931	62509
102321_12	102321	2887	8	26.779654031321	0.986131386861314	0.1885980403220374	63746
102321_15	102321	2958	10	42.061209153434696	0.9948905109489052	0.1786115590085861	63079
102321_16	102321	2925	8	16.371162607983024	0.9547445255474452	0.1790416179511177	62775
102321_2	102321	2806	9	108.31792359467374	0.9992700729927008	0.1774566252984005	63259
102321_22	102321	3027	14	206.36917180371336	1.0	0.1781403953295678	59632
102321_24	102321	2981	22	58.30380554263033	0.994160583941606	0.1827039457707612	63460
102321_27	102321	2881	11	53.260249846593865	0.9934306569343064	0.1784737948174487	62400
102321_28	102321	3039	13	137.52852492275267	0.9985401459854014	0.1775163719566634	62804
102321_29	102321	2793	9	34.10271761364813	0.994160583941606	0.1772041939141186	63310
102321_3	102321	2907	15	93.67395619338076	0.9956204379562044	0.1776375843604175	62813
102321_30	102321	2833	5	14.49786299901466	0.95985401459854	0.1919314745485153	63656
102321_31	102321	3065	12	70.59883042421657	0.9956204379562044	0.1753933796754908	63047
