library_id	external_id	library_type	number_of_lanes_aggregated	sequenced_reads	preparation_id
HSM5MD41_H4010C8_MBX	HSM5MD41	metabolomics			HSM5MD41_H4010C8_MBX
HSM6XRTM_H4010C12_MBX	HSM6XRTM	metabolomics			HSM6XRTM_H4010C12_MBX
HSM6XRTQ_H4010C14_MBX	HSM6XRTQ	metabolomics			HSM6XRTQ_H4010C14_MBX
HSM67VH1_H4010C24_MBX	HSM67VH1	metabolomics			HSM67VH1_H4010C24_MBX
HSM5MD8H_H4013C1_MBX	HSM5MD8H	metabolomics			HSM5MD8H_H4013C1_MBX
HSM5MD6K_H4013C5_MBX	HSM5MD6K	metabolomics			HSM5MD6K_H4013C5_MBX
HSM6XRRJ_H4013C9_MBX	HSM6XRRJ	metabolomics			HSM6XRRJ_H4013C9_MBX
HSM6XRVC_H4013C14_MBX	HSM6XRVC	metabolomics			HSM6XRVC_H4013C14_MBX
HSM6XRVK_H4013C18_MBX	HSM6XRVK	metabolomics			HSM6XRVK_H4013C18_MBX
HSM7J4R2_H4013C22_MBX	HSM7J4R2	metabolomics			HSM7J4R2_H4013C22_MBX
HSM5MD3L_H4014C1_MBX	HSM5MD3L	metabolomics			HSM5MD3L_H4014C1_MBX
HSM5MD6A_H4014C5_MBX	HSM5MD6A	metabolomics			HSM5MD6A_H4014C5_MBX
HSM6XRRV_H4014C9_MBX	HSM6XRRV	metabolomics			HSM6XRRV_H4014C9_MBX
HSM6XRVO_H4014C14_MBX	HSM6XRVO	metabolomics			HSM6XRVO_H4014C14_MBX
HSM6XRVW_H4014C20_MBX	HSM6XRVW	metabolomics			HSM6XRVW_H4014C20_MBX
HSM7J4QT_H4014C24_MBX	HSM7J4QT	metabolomics			HSM7J4QT_H4014C24_MBX
HSM5MD62_H4015C2_MBX	HSM5MD62	metabolomics			HSM5MD62_H4015C2_MBX
HSM5MD73_H4015C5_MBX	HSM5MD73	metabolomics			HSM5MD73_H4015C5_MBX
HSM6XRS8_H4015C9_MBX	HSM6XRS8	metabolomics			HSM6XRS8_H4015C9_MBX
HSM7CYZ7_H4015C14_MBX	HSM7CYZ7	metabolomics			HSM7CYZ7_H4015C14_MBX
HSM7J4QB_H4015C19_MBX	HSM7J4QB	metabolomics			HSM7J4QB_H4015C19_MBX
HSM7J4QJ_H4015C23_MBX	HSM7J4QJ	metabolomics			HSM7J4QJ_H4015C23_MBX
HSM5MD5Z_H4016C1_MBX	HSM5MD5Z	metabolomics			HSM5MD5Z_H4016C1_MBX
HSM5MD6U_H4016C5_MBX	HSM5MD6U	metabolomics			HSM5MD6U_H4016C5_MBX
HSM67VF3_H4016C9_MBX	HSM67VF3	metabolomics			HSM67VF3_H4016C9_MBX
HSM67VHM_H4016C12_MBX	HSM67VHM	metabolomics			HSM67VHM_H4016C12_MBX
HSM7J4I3_H4016C19_MBX	HSM7J4I3	metabolomics			HSM7J4I3_H4016C19_MBX
