mgen_id	mgen_group_id
HSM7J4PQ_G110287	core
HSM7J4PS_G110286	core
HSM7J4PU_G111788	core
HSM7J4PW_G110311	core
HSM7J4PY_G110317	core
HSM7J4IO_G110298	core
HSM7J4IP_G110303	core
HSM7J4IQ_G110306	core
HSM7J4IR_G110308	core
HSM7J4IS_G110329	core
HSM67VEO_G110358	core
HSM67VEQ_G111827	core
HSM67VES_G110368	core
HSM67VEU_G110361	core
HSM67VEW_G111791	core
HSM7CYZJ_G110363	core
HSM7CYZL_G111740	core
HSM7CYZR_G111748	core
HSM7J4RE_G111780	core
HSM7J4G1_G110310	core
HSM7J4G8_G111770	core
HSM7J4IU_G111807	core
HSM7J4IW_G111772	core
HSM6XRUL_G110364	core
HSM6XRUN_G110367	core
HSM6XRUR_G110354	core
HSM6XRQ8_G110353	core
HSM7CZ16_G111828	core
HSM7CZ18_G111784	core
HSM7CZ1A_G110283	core
HSM7CZ1C_G111751	core
HSM7CZ1E_G111739	core
HSM7CZ1G_G111778	core
HSM7J4HA_G111797	core
HSM7J4HC_G110369	core
HSM7J4HE_G111762	core
HSM7J4HG_G111808	core
HSM7J4HI_G111752	core
HSM7J4HK_G111798	core
HSM7J4KC_G110321	core
HSM7J4KG_G111763	core
HSM7J4KI_G111754	core
HSM7J4KK_G110324	core
HSM7J4KM_G111745	core
HSM67VDT_G111833	core
HSM67VI3_G110365	core
HSM67VI5_G111821	core
HSM67VI7_G111825	core
HSM67VI9_G110355	core
HSM67VIB_G110280	core
HSM7CZ24_G111758	core
HSM7CZ26_G111795	core
HSM7CZ28_G111759	core
HSM7CZ2A_G111757	core
HSM7CZ2E_G111796	core
HSM7J4HW_G111771	core
HSM7J4HY_G111753	core
HSM7J4I5_G110320	core
HSM7J4I7_G111816	core
HSM7J4I9_G111789	core
HSM7J4O1_G111890	core
HSM7J4NY_G110337	core
HSM7J4O3_G110339	core
HSM7J4O5_G111895	core
HSM7J4O7_G111881	core
HSM7J4O9_G110327	core
HSM7CZ1V_G110281	core
HSM7CZ1Z_G110292	core
HSM7CZ22_G111845	core
HSM7J4GP_G111875	core
HSM7J4GR_G110315	core
HSM7J4NC_G111854	core
HSM7J4NE_G110331	core
HSM7J4NM_G111889	core
HSMA33O1_G111883	core
HSMA33O3_G110344	core
HSM67VID_G111866	core
HSM67VIF_G111856	core
HSM67VIL_G110294	core
HSM7J4GD_G110313	core
HSM7J4MY_G110305	core
HSM7J4N4_G110335	core
HSM7J4N6_G110342	core
HSM7J4N8_G111888	core
HSM7J4NA_G111880	core
HSM7CZ2Z_G110289	core
HSM7CZ32_G110293	core
HSM7CZ36_G110288	core
HSM7CZ38_G110309	core
HSM7J4L5_G110297	core
HSM7J4L9_G110307	core
HSM7J4ON_G111892	core
HSM7J4OP_G110328	core
HSM7J4OT_G110326	core
HSM7J4OV_G111896	core
HSM7J4OX_G111902	core
HSMA33JZ_G111905	core
HSM7CZ3A_G110290	core
HSM7CZ3C_G110295	core
HSM7CZ3E_G110285	core
HSM7CZ3G_G111873	core
HSM7J4PA_G111876	core
HSM7J4MK_G110301	core
HSM7J4OB_G111894	core
HSM7J4OE_G110341	core
HSM7J4OL_G111903	core
HSMA33JB_G110350	core
HSMA33JD_G110348	core
HSM7J4Q1_G111865	core
HSM7J4Q7_G111867	core
HSM7J4Q9_G111877	core
HSM7J4MS_G110316	core
HSM7J4MW_G111870	core
HSM7J4IC_G110304	core
HSM7J4OZ_G110330	core
HSM7J4P2_G111887	core
HSMA33MV_G111901	core
HSMA33JN_G111904	core
HSMA33JP_G111908	core
HSMA33JR_G110352	core
HSM7J4HM_G110370	core
HSM7J4HO_G110312	core
HSM7J4HQ_G110314	core
HSM7J4HS_G110319	core
HSM7J4HU_G110299	core
HSM7J4JZ_G110302	core
HSM7J4K2_G110323	core
HSM7J4K4_G110333	core
HSM7J4K6_G110338	core
HSM7J4K8_G110340	core
HSM7J4KA_G110325	core
HSMA33OP_G111884	core
HSMA33OR_G110345	core
HSMA33OT_G110346	core
HSMA33OV_G110351	core
HSMA33OX_G111907	core
HSMA33OZ_G110349	core
HSMA33MA_G110277	core
HSMA33MC_G111851	core
HSMA33ME_G110278	core
HSMA33MG_G110279	core
HSMA33MI_G111838	core
HSMA33MK_G110275	core
HSM7J4J7_G110296	core
HSM7J4J9_G111871	core
HSM7J4JD_G110332	core
HSM7J4JF_G111891	core
HSMA33NA_G110343	core
HSMA33NC_G111882	core
HSMA33KE_G110347	core
HSMA33KM_G111874	core
HSMA33KO_G111844	core
HSMA33PX_G111839	core
HSMA33PZ_G110276	core
HSMA33Q6_G110376	core
HSM7J4LP_G110408	core
HSM7J4JH_G110411	core
HSM7J4JJ_G110413	core
HSM7J4JN_G110434	core
HSM7J4JP_G111893	core
HSMA33NO_G110425	core
HSMA33NQ_G110427	core
HSMA33KQ_G111906	core
HSMA33KS_G111911	core
HSMA33KU_G110391	core
HSMA33L1_G110386	core
HSMA33PL_G110387	core
HSMA33PN_G111840	core
HSM7J4NO_G110432	core
HSM7J4NS_G110436	core
HSM7J4NU_G110421	core
HSMA33OD_G110438	core
HSMA33OJ_G110390	core
HSMA33OL_G111853	core
HSMA33LX_G111847	core
HSMA33LZ_G111849	core
HSMA33M2_G110371	core
HSMA33M8_G110377	core
HSMA33MX_G111886	core
HSMA33MZ_G110423	core
HSMA33N4_G111897	core
HSMA33IO_G111909	core
HSMA33IS_G111858	core
HSMA33RD_G110374	core
HSMA33RF_G110378	core
HSMA33IE_G110422	core
HSMA33IG_G111898	core
HSMA33IK_G110444	core
HSMA33LP_G111852	core
HSMA33QY_G110384	core
HSMA33R1_G111841	core
HSMA33R5_G110373	core
HSMA33R7_G111859	core
HSMA33R9_G111842	core
HSMA33S4_G111836	core
HSMA33NW_G111879	core
HSMA33P6_G110437	core
HSMA33IA_G110439	core
HSMA33IC_G110445	core
HSMA33LB_G110385	core
HSMA33LH_G110389	core
HSMA33LH_TR_H4044C12_MGX	core
HSMA33LJ_G110383	core
HSMA33RR_G111835	core
HSMA33RT_G110379	core
HSMA33RX_G110382	core
HSMA33RX_TR_H4044C21_MGX	core
HSMA33NY_G111885	core
HSMA33J3_G110443	core
HSMA33J5_G110446	core
HSMA33J7_G111910	core
HSMA33J9_G111850	core
HSMA33MS_G110388	core
HSMA33QM_G111848	core
HSMA33QO_G110372	core
HSMA33SE_G111837	core
HSMA33SG_G110380	core
HSMA33SI_G110381	core
HSMA33SK_G110375	core
MSM5LLDI_G109894	core
MSM5LLDK_G109895	core
MSM5LLDM_G109893	core
MSM5LLDQ_G109891	core
MSM5LLDS_G109979	core
MSM5LLDU_G109892	core
MSM5LLDC_G109984	core
MSM5LLDE_G110752	core
MSM5LLDA_G109959	core
MSM6J2LB_G109967	core
MSM5LLGL_G110750	core
MSM6J2IQ_G109985	core
