"mgen_id	mgen_group_id"
"HSM5MD7S_G110512	hmp2"
"HSM5MD7U_G110531	hmp2"
"HSM67VEC_G110557	hmp2"
"HSM67VEE_G110559	hmp2"
"HSM67VEG_G111822	hmp2"
"HSM67VEI_G110518	hmp2"
"HSM67VEK_G110522	hmp2"
"HSM67VEM_G110478	hmp2"
"HSM67VEM_TR_H4006C18_MGX	hmp2"
"HSM7CYX2_G110473	hmp2"
"HSM7CYX4_G110469	hmp2"
"HSM7CYX6_G110486	hmp2"
"HSM7CYX8_G110492	hmp2"
"HSM7CYXA_G110482	hmp2"
"HSM7CYXC_G110484	hmp2"
"HSM5MD4O_G111765	hmp2"
"HSM5MD4N_G110540	hmp2"
"HSM6XRSN_G110508	hmp2"
"HSM6XRST_G110534	hmp2"
"HSM67VHQ_G111831	hmp2"
"HSM67VHS_G111820	hmp2"
"HSM67VHW_G110519	hmp2"
"HSM67VI1_G111793	hmp2"
"HSM7CYXQ_G111768	hmp2"
"HSM7CYXS_G111803	hmp2"
"HSM5MD5B_G110547	hmp2"
"HSM5MD5D_G110548	hmp2"
"HSM6XRSX_G110551	hmp2"
"HSM67VFX_G111834	hmp2"
"HSM67VFZ_G110554	hmp2"
"HSM67VG8_G110471	hmp2"
"HSM7CZ2H_G111775	hmp2"
"HSM6XRT8_G110523	hmp2"
"HSM6XRTG_G111826	hmp2"
"HSM67VGA_G110546	hmp2"
"HSM67VGC_G110516	hmp2"
"HSM67VGG_G110468	hmp2"
"HSM67VGK_G110474	hmp2"
"HSM67VGK_TR_H4009C19_MGX	hmp2"
"HSM5MD43_G110549	hmp2"
"HSM5MD3Y_G110525	hmp2"
"HSM5MD41_G110510	hmp2"
"HSM6XRTM_G110562	hmp2"
"HSM6XRTQ_G110517	hmp2"
"HSM6XRTO_G111804	hmp2"
"HSM6XRTS_G111814	hmp2"
"HSM67VGY_G110491	hmp2"
"HSM67VH1_G110504	hmp2"
"HSM5MD6I_G110550	hmp2"
"HSM5MD6K_G110545	hmp2"
"HSM5MD6M_G111810	hmp2"
"HSM6XRRJ_G110556	hmp2"
"HSM6XRVA_G111811	hmp2"
"HSM6XRVC_G110477	hmp2"
"HSM6XRVC_TR_H4013C14_MGX	hmp2"
"HSM6XRVK_G110488	hmp2"
"HSM7J4QZ_G111776	hmp2"
"HSM7J4R2_G110500	hmp2"
